Page Visits	Submissions	Comments Received	Comments Given	Journals	Favs
6638	106	1143	804	55	1272
103	0	23	0	0	0
4582	30	493	587	20	562
37	0	3	6	0	0
147	0	32	0	0	0
15176	78	750	1033	43	2867
666	0	118	178	1	37
10800	47	3015	4641	54	379
5761	124	1694	2329	159	465
396	26	77	93	1	70
63	0	9	1	0	0
266	0	16	0	0	0
4634	271	1115	1611	2	3826
4320	303	1042	256	2	1272
440	5	20	42	3	29
2670	359	2134	3329	81	977
296	9	63	42	2	9
518	1	24	29	6	3
214	0	24	0	0	0
13919	47	1647	1825	37	2506
838	67	104	184	20	303
2840	83	819	1069	2	604
335	0	88	111	10	0
67	0	16	13	0	0
522	8	126	149	3	24
613	33	145	210	10	17
126	0	26	41	0	0
338	3	147	141	3	0
5238	674	5311	4244	55	1656
74	3	11	10	3	8	
10566	117	2278	2913	163	798
677	1	50	44	4	33
21	0	0	0	0	0
4398	18	338	344	24	98
3724	20	1045	939	2	253
1094	1	185	49	2	36
4015	17	960	1829	19	636
2330	123	368	408	7	393
917	0	233	121	0	0
838	5	94	140	0	1
92	0	29	1	0	0
3237	83	1204	2173	19	627
5009	0	424	644	0	16
479	9	83	110	3	1
888	0	8	5	0	0
8336	20	1172	1995	0	197
1599	96	160	171	7	975
10895	102	1585	693	6	3261
7414	185	1206	941	72	1521
56	0	0	0	0	0
70301	1952	8062	5097	474	32490	
11	0	1	0	0	0
256	27	16	24	0	51
815	22	57	138	4	138
234	0	81	0	0	0
3014	40	288	193	10	334
213	0	2	4	0	0
5321	60	1274	1279	39	118
3356	230	1132	1773	31	272
567	0	118	121	0	0
2786	11	182	241	1	322
30339	149	12021	11018	107	9223
781	11	753	1182	33	103
650	55	117	146	1	123
1398	6	726	1386	29	19
6182	6	4522	3880	251	930
224	7	41	84	3	18
13849	175	15741	29042	99	3322
10862	298	2860	7492	21	1100
319	8	56	68	6	19
7177	25	1221	590	12	1982
9903	30	445	278	7	3205
715	2	17	10	2	2
644	0	108	10	0	1
2535	33	472	552	0	46
162	0	6	10	0	0
2641	5	89	136	13	38
12346	51	756	773	1	2929
404	0	19	14	0	0
4105	150	655	377	19	1475
4712	46	666	964	1	895
125	0	9	12	0	0
28955	107	5429	5223	170	2543
3408	12	1339	2082	2	109
5374	136	1087	946	24	1019
10453	1161	7775	13229	447	3192
1597	21	118	132	1	248
457	16	76	68	3	77
412	32	40	27	0	2
523	8	36	77	1	7
1163	0	135	12	0	0
1163	30	160	153	13	56
121	0	19	3	0	0
2578	68	569	474	5	559
294	0	79	17	0	0
2059	4	178	339	6	90
3326	59	1041	2284	2	196
6723	32	114	36	0	792
8359	97	1074	1555	122	1446
2284	30	289	304	2	109
6970	47	2096	2954	37	419
900	157	198	275	22	262
2943	163	1077	1085	314	332
550	0	63	68	0	0
6273	1	2252	2705	1	822
34	0	2	3	0	0
733	1	256	425	1	2
72	0	9	10	0	0
6604	147	1305	1362	28	1176
485	2	154	194	0	36
1304	13	259	210	23	38
205	43	17	5	0	98
67	21	17	1	0	68
9840	112	899	1079	33	2206
22	0	2	0	0	0
94	0	20	0	0	0
3664	34	296	486	16	296
2509	55	186	244	19	169
2320	63	242	338	2	651
565	35	175	251	0	157
1026	0	36	36	4	4
4470	10	203	160	0	433
16791	97	2845	2313	289	4499
3917	27	98	33	3	806
303	7	35	35	0	12
15254	106	1215	1233	36	4470
347	0	15	31	0	0
223	0	31	29	0	0
12392	0	2177	4709	63	967
2174	29	307	403	14	78
450	4	247	308	3	3
4474	62	1732	2796	40	325
462	0	118	143	0	0
6788	60	987	1571	22	739
7061	502	4404	8293	151	2561
3175	41	631	741	56	705
404641	416	9896	3878	1	83471
29022	219	2295	1032	23	20496
703	38	79	151	3	104
11710	33	1358	2143	79	962
466	9	148	189	0	13
4379	60	348	309	4	559
2432	11	393	398	0	10
10805	603	3914	5107	38	3049
497	0	76	4	0	0
247	0	37	14	0	0
203	0	58	47	0	0
65	0	11	3	0	0
556	1	114	147	0	1
1706	20	2140	2217	176	49
12	0	0	0	0	0
468	3	163	118	0	4
388	1	15	22	0	4
2677	90	726	928	34	345
2150	106	425	546	19	175
57776	927	10843	7796	160	21213
2440	45	282	478	16	539
1796	9	72	33	0	419
812	1	22	37	0	4
24085	59	1283	838	0	6671
2517	49	273	148	14	202
113	0	52	172	1	0
4389	13	816	1841	25	16
1590	40	153	135	0	285
17520	16	780	964	14	258
8727	23	671	738	2	1043
3460	8	2274	7448	11	13
2588	10	169	201	0	215
1924	0	180	192	0	0
425	6	18	9	0	34
761	115	280	248	0	46
4488	28	902	1085	17	601
2813	66	115	14	1	1396
1257	31	135	92	3	138
371	8	90	90	5	21
880	45	132	118	3	59
1049	6	227	177	0	7
1290	65	434	641	7	117
7147	149	1366	2010	165	869
24	0	0	2	0	0
1876	10	92	199	0	53
3313	25	1179	1833	10	166
147	0	15	11	1	0
957	0	10	8	0	0
162	14	11	13	0	4
9429	11	535	497	0	594
10872	35	1982	2510	1	353
23998	596	3911	6587	1	5143
3555	5	498	733	2	57
61309	388	2451	858	121	36425	
6419	38	739	850	7	1784
16	0	1	0	0	0
7619	306	4911	5177	89	2555
1749	24	113	57	8	92
2546	111	610	875	28	375
987	0	150	170	0	83
5882	94	890	814	110	517
606	6	91	42	8	13
147	6	6	7	1	23
24585	107	3675	5211	7	9617
4692	4	49	22	5	81
72	2	4	4	0	7
25	0	2	2	0	0
456	13	10	8	1	109
1471	0	66	5	0	0
4128	32	605	597	159	103
2715	119	353	217	5	1104
1981	34	148	149	10	204
194	18	85	126	12	10
2078	17	1224	2137	17	54
3406	4	175	128	0	348
40303	43	4505	7695	72	3195
899	6	64	85	1	27
36	0	13	28	0	0
30	4	5	4	0	1
1708	32	688	1150	7	64
1598	144	427	425	0	306
198	0	19	17	0	0
4965	36	296	407	13	565
1203	0	117	181	0	0
104	0	15	9	0	0
5862	169	1107	894	90	673
714	28	97	59	0	93
20061	68	779	907	0	2516
2508	15	371	543	4	279
42	0	5	0	0	0
722	27	420	580	10	4
3832	100	1947	1799	87	212
2525	20	402	460	0	498
4366	8	133	30	5	868
1391	1	80	110	0	1
150	0	8	1	0	0
1182	107	378	325	42	177	
15010	1153	1563	1442	14	14656
2205	80	299	218	9	1235		
2784	10	359	625	6	120
1538	1	227	157	0	3
33280	237	5077	4667	192	10912
392	4	75	15	0	2
59	0	3	0	0	0
102	26	5	0	0	22
5	0	0	0	0	0
93	10	27	47	3	10
4357	390	688	490	11	834
1092	3	666	1740	6	3
19	0	2	2	0	0
521	0	86	41	0	0
2828	1	62	45	6	508
143	3	14	23	0	5
3977	20	466	449	43	150
748	1	23	7	5	4
440	8	35	104	0	29
9392	35	778	916	52	1081
5974	209	2614	3571	0	2142
4089	17	82	0	3	947
106	0	27	15	0	0
6085	60	1640	1948	1	976
4026	426	2200	2692	7	2430		
393	53	64	47	11	73
469	43	33	65	0	455
11	0	1	3	0	0
1903	64	405	676	13	87
153	0	40	264	0	0
1811	148	224	327	16	213
14824	248	2550	3034	126	2744
9604	381	4008	5995	68	1777
970	3	184	356	0	9
12669	241	1598	1206	53	1530
4260	22	803	269	0	366
885	27	114	138	6	143
197	3	30	56	0	1
112	0	10	10	0	0
462	2	136	32	1	1
79	0	7	38	0	0
22	0	0	1	0	0
3044	37	1091	1350	2	818	
3361	74	1754	2075	73	186
8	0	0	0	0	0
91	1	11	18	0	0
7929	33	1026	1718	2	920
25095	1553	898	198	0	9570
23527	172	4856	7046	42	3400
1870	34	182	148	0	494
6418	21	588	553	1	374
4348	50	1666	2618	3	138
1324	20	133	118	14	148
1844	21	108	229	5	598
3260	36	1707	2641	15	52	
434	5	94	77	0	12
141	0	22	0	0	0
3132	8	391	549	0	9
1870	40	412	397	0	279
2234	26	253	312	16	168
8146	78	700	1204	0	3653
994	17	306	347	29	15
639	0	91	175	0	0
14263	0	1639	2498	10	1660
1907	67	315	383	12	318
446	5	54	20	0	42
14497	233	1193	2141	27	6501
83	0	10	17	0	0
518	15	36	31	1	21
5570	264	975	470	39	1129
9785	469	2618	4294	27	3772
10299	203	2934	4298	44	815
9929	133	1632	3163	134	741
5028	93	1299	2012	78	1433
1257	74	31	20	3	122
5388	46	604	534	0	709
801	30	74	67	0	117
1729	36	122	53	8	394
299	9	22	13	1	1
474	54	79	73	1	181
10036	46	1266	1798	20	2757
251	0	12	3	0	0
11063	107	2734	2727	155	1890
2205	12	637	1040	11	30
837	0	60	66	0	121
162	0	6	3	0	0
40	0	10	1	0	0
224	5	17	4	6	1
20340	142	995	1602	23	8253
299	11	35	59	0	36
160	0	29	10	0	0
829	8	155	90	0	37
27938	202	3545	3651	46	15818
4085	85	1152	1516	32	826
94	0	8	4	0	0
4283	0	80	12	2	258
3887	108	659	854	19	740
1691	31	225	344	4	96
568	32	160	117	15	60
7932	67	704	222	19	2376
1008	36	45	13	0	391
1586	6	96	35	4	137
3878	29	388	494	5	649
134	0	17	17	0	0
2391	18	360	297	10	68
12	0	0	0	0	0
2194	16	185	78	0	1295
622	35	48	23	1	182
6362	64	1071	1379	7	1388
256	0	50	0	0	0
279	0	42	32	0	0
2274	79	814	1109	11	379
44325	41	606	815	16	411
765	0	195	545	0	0
1641	2	317	593	16	19
16	0	1	0	0	0
146	36	12	6	0	123
3845	13	513	900	1	266
369	0	53	83	1	0
80	0	9	6	0	3
2699	27	227	133	18	108
186	1	20	11	0	5
8681	112	1235	1105	5	2754
4627	115	470	613	18	1284
2055	22	205	118	2	306
1594	6	76	69	3	66
36475	388	14458	8526	162	12945
2867	153	439	536	16	688
3366	56	1852	1491	3	854
2077	21	435	466	16	50
1851	22	267	60	0	98
278	0	25	22	0	0
113	3	6	4	2	7
310	14	32	47	3	38
676	15	41	46	0	52
6750	281	3113	3444	4	3720
355	5	56	73	0	24
3075	19	70	14	3	419
78898	204	3549	2250	41	33470
12521	150	2396	2461	5	3247
107	0	19	7	0	0
5758	198	1490	2687	64	1998	
1046	16	201	251	5	24
190	1	43	102	0	0
204	3	12	11	0	31
2969	28	197	793	3	792
2358	17	543	1287	35	47
688	9	123	293	7	10
4453	2	1064	915	5	1017
283	0	33	46	0	0
1140	10	212	214	2	15
478	7	9	2	1	16
294	3	19	0	0	35
868	0	71	56	0	0
847	23	106	100	0	141
53050	228	1820	1013	152	9463
8430	57	1919	3680	31	1148
261	12	55	34	1	21
5102	136	371	308	0	2118
119	0	11	9	0	0
17764	10	745	144	84	108
3722	68	240	144	0	1689
8449	109	5197	6440	32	914
403	17	6	0	0	48
372	0	62	43	0	0
688	80	125	100	17	481
423	28	98	87	6	188
5531	253	1218	748	9	4911
4571	0	605	265	0	2483
3220	0	887	1574	1	469
129	4	17	7	0	13
880	7	108	234	0	8
254	0	28	27	0	0
179	1	28	123	0	7
842	0	323	438	0	2
4064	66	333	621	8	453
24	0	1	0	0	0
2836	18	173	139	0	356
1506	34	268	439	5	68
944	2	225	283	1	114
79	1	6	11	0	1
1547	11	136	110	0	31
201	0	32	22	0	59
463	6	30	10	0	261
1628	30	97	94	0	56
743	35	58	124	0	491
16160	68	1831	2047	11	4656
6906	182	4896	5974	148	609
624	36	124	152	2	45
140	0	9	2	1	0
3445	0	71	21	1	0
10923	7	538	586	15	733
1275	0	8	3	0	0
9182	141	1426	3422	69	1019
1340	7	59	28	2	59
2124	0	156	21	1	1053
655	0	107	135	0	45
25	0	7	0	0	0
745	5	111	19	4	23
33	2	0	0	0	15
69	1	10	1	0	3
58795	959	14680	6077	143	86163
770	34	20	0	2	354
268	1	17	14	7	2
276	0	28	16	0	0
110	0	18	5	0	0
7300	131	1681	2291	159	848
11476	818	805	461	94	1566
1094	1	83	63	0	2
575	6	54	40	0	12
671	5	31	29	0	8
4431	268	1285	1247	0	367
244	0	26	31	0	0
6627	418	910	501	37	5097
653	154	398	498	51	236
3015	93	178	51	0	933
9077	58	1078	2079	16	1363
580	13	70	68	3	83
1424	20	31	3	0	727
292	0	22	21	0	0
8893	125	4880	9249	6	1269
6830	28	570	1208	22	842
1185	117	208	390	2	158
82	5	1	0	0	0
1209	4	120	218	0	96
68	0	9	1	0	0
1196	0	94	78	3	49
6944	57	1007	1102	26	554
10623	58	1718	2038	2	1243
16702	132	5105	3824	7	6098
40	0	9	0	0	0
667	132	162	120	0	177
5016	163	352	350	3	1255
1946	1	510	829	0	219
1712	118	336	148	21	255
4	0	0	0	0	0
1035	9	50	80	1	196
678	5	87	43	0	63
79	0	11	16	0	1
349	4	10	6	1	13
519	16	41	53	2	74
198	0	52	61	0	15
1558	3	331	410	0	9
10594	52	2089	1864	37	1870
2295	0	289	222	0	175
11699	208	2119	3188	67	914
1243	51	146	151	0	234
390	0	75	4	0	0
6865	8	145	67	0	2852	
562	0	115	21	0	0
4966	53	768	562	22	411
156	5	24	8	1	8
924	6	53	184	1	91
363	1	54	81	0	1
1693	18	55	42	0	240
420	52	81	118	0	48	
1949	174	632	746	98	379
1190	85	306	381	13	126
6887	34	1359	3715	0	218
14384	240	1806	1589	23	6778
11129	62	2712	3281	90	299
770	35	63	24	2	82
134	1	25	1	0	3
3177	106	417	820	0	1309
633	0	152	206	0	0
779	31	196	650	12	23
4495	48	836	1006	1	102
4542	94	565	280	0	869
2176	31	378	642	15	391
1098	32	292	225	32	115
906	63	134	46	11	469
11	0	1	0	0	0
413	43	35	8	0	161
5860	24	640	600	10	771
122	0	11	1	0	0
2231	38	186	24	7	421
17783	165	1650	2652	55	4318
19	3	2	3	0	3
10689	183	2193	2846	18	2970
284	10	8	4	1	24
55360	172	4465	4085	5	12888
24708	197	3766	4546	40	7062
6332	7	2546	3370	18	158
883	39	187	271	1	75
16788	111	335	96	2	4133
7866	154	2868	3846	111	533
717	5	63	72	1	8
192	3	38	0	0	0
2676	150	377	662	7	265
159	5	23	0	0	22
4015	0	336	123	0	288
8047	170	2646	3885	92	650
885	42	47	52	0	82
3903	56	371	458	11	567
2001	44	290	361	7	569
35	0	3	0	0	0
135	6	10	6	1	35
693	91	120	115	2	358
157	2	22	28	0	3
67	0	6	1	0	0
902	1	60	50	0	2
7079	13	1496	2287	90	18
1419	0	72	113	0	0
2125	121	244	182	36	401
1536	12	228	395	3	80
1847	51	294	254	14	237
10582	524	3411	2958	153	1960
1715	35	71	64	1	382
1723	0	172	150	22	27
958	16	85	24	0	97
57	1	4	5	1	0
55391	491	8117	2948	37	48665
112	0	14	14	0	0
1954	4	125	139	0	18
70	0	10	0	0	0
918	18	235	212	3	94
6755	22	3233	2737	3	4570
2273	0	92	95	2	0
2058	18	1000	1600	55	29
1700	14	273	314	3	92
1396	6	190	248	0	80
10802	846	1880	1247	5	3488
3198	104	1477	1667	25	368
3128	163	597	594	0	1483
9520	201	3060	3169	272	1187
1449	1	506	1403	5	0
258	0	79	76	1	0
2737	373	404	319	16	970
5151	202	1658	2209	19	1317
202	44	35	28	6	66
7454	109	2662	4221	25	1836
6129	8	349	451	0	699
856	4	50	49	23	2
874	2	179	302	0	7
3781	26	569	653	21	640
2792	84	123	45	18	1195
24239	62	815	554	1	4212
10983	75	3036	3686	6	1556
87	5	10	7	0	10
509	0	86	13	0	0
2247	45	532	1052	38	74
5867	33	1763	2864	23	289
427	19	22	2	0	407
366	4	41	22	0	8
2674	71	669	504	9	404
1602	36	145	391	0	240
3394	70	154	51	2	863
201	0	36	48	0	0
199	0	15	0	0	0
29467	70	4385	2618	11	6255
86	0	20	5	0	0
1531	17	258	269	8	266
44	0	3	4	0	0
3835	64	196	263	2	1955
4451	1163	2304	1730	0	1911
1052	25	92	145	14	50
2776	7	816	957	73	51
5007	0	201	63	0	58
6473	11	597	347	4	618
8715	325	2436	2902	89	1619
6002	72	1034	1134	8	3692
121	0	39	1	0	0
45236	153	5075	1695	77	16696
260	0	46	21	3	20
288	0	36	21	0	0
13943	5194	7503	8705	111	36830
2811	1	437	671	1	80
9341	64	2684	3774	63	1295
5678	42	423	598	5	473
1186	60	774	772	80	130
5955	79	582	601	44	311
14478	20	2954	8198	59	256
1542	15	251	182	0	136
4705	40	1157	1181	20	410
11	0	2	0	0	0
135	6	15	12	0	0
4525	23	117	140	0	425
3404	0	254	497	3	44
1611	58	146	182	3	209
970	0	252	425	20	86
33699	65	1806	1021	45	7160
1547	81	220	151	25	344
338	0	12	2	0	0
2520	0	427	659	26	0
511	0	12	1	0	0
832	1	101	60	0	6
1142	64	229	178	22	84
11194	105	1250	1466	24	2436
1116	1	61	9	1	4
1145	55	138	134	2	165
321	14	28	19	0	139	
1235	9	113	191	9	32
4546	11	235	322	13	237
4891	69	766	870	13	665
866	6	71	73	0	30
641	15	26	8	1	16
12590	668	4085	2112	28	26696
1461	0	326	906	0	14
517	0	103	107	7	158
12187	13	1796	3593	89	92
2530	64	128	110	20	265
6806	276	2662	1817	183	2828
334	1	0	0	0	38
55263	532	6054	4892	70	18798
4059	119	1542	3173	72	183
3073	65	382	385	6	396
1656	11	78	52	1	243
555	99	104	41	3	296
1465	98	28	5	0	368
4881	35	263	286	3	745
921	11	1035	1407	10	4
2045	24	233	165	13	68
2729	195	1017	1107	1	714
76	5	15	7	0	1
2038	26	168	79	8	135
15341	555	1589	427	138	8291
2623	16	304	439	4	672
1100	43	109	291	3	263
152	23	26	11	0	38
181	1	74	108	1	3
5398	8	189	49	0	116
48	1	8	0	0	0
234	0	11	10	0	20
4749	151	1507	1676	3	977
293	7	13	11	2	52
686	9	360	938	0	26
1221	0	253	249	2	38
4604	40	194	192	0	379
3236	100	1116	909	26	497
5292	50	516	451	18	354
8030	49	542	888	0	315
9771	398	4704	5463	104	1410
92	0	15	12	0	0
5462	131	729	244	0	2133
1869	5	104	220	3	14
4656	118	3153	4454	44	298
130	3	48	67	4	4
5309	45	1350	1548	69	525
1608	113	300	318	24	752
6334	89	4100	8218	86	248
2825	41	460	561	10	339
21508	543	3129	3537	117	9247
818	4	193	163	0	1
347	16	56	32	0	81
113	0	15	1	0	0
2678	64	1632	3044	97	193
22382	689	4573	5723	100	5221
408	0	78	33	0	0
2981	139	290	113	0	645
31971	850	2613	1156	64	12493	
34079	333	3676	5693	113	11327
2529	45	798	629	2	230
1757	40	303	233	9	195
1604	14	197	72	0	96
2806	1	292	245	0	504
551	8	50	51	1	38
6188	126	1457	3070	14	462
7737	63	1946	2545	43	304
3620	12	785	922	5	111
438	48	193	189	3	89
2201	23	434	554	25	95
9302	23	1036	1248	3	4191
4751	26	403	379	21	238
118	0	23	21	1	4
259	22	46	103	3	75	
5751	170	1147	2054	67	597
3363	56	722	1299	5	997
932	14	203	205	0	62
1740	17	135	167	9	67
2291	20	793	712	0	484
12121	122	1181	1659	15	4642
508	6	62	34	4	64
1045	17	244	92	1	37
630	6	53	12	0	96
7609	282	3228	3103	41	1082
377	42	74	46	3	251
3604	0	1575	1522	0	713
1435	73	213	167	4	469
72	0	19	11	0	0
1099	35	93	104	1	94
55	0	8	0	0	0
1694	31	385	874	5	39
2224	0	304	17	0	0
1773	14	420	293	13	176
55	1	2	0	0	2
2783	160	1167	1264	33	922	
2191	59	518	644	6	378
12492	160	843	337	8	5340	
2879	196	703	848	5	424
3345	93	19168	19694	187	165
104	0	16	1	0	0
68	0	12	7	0	0
1538	42	662	1117	16	96
3900	204	982	1212	41	586
189	0	32	37	0	0
61	0	22	0	0	0
1266	3	493	751	13	7
76	0	4	6	0	0
5591	22	1721	3101	39	583
3061	178	624	917	30	153
3811	2	364	458	7	1
2003	32	302	171	0	76
53	0	5	0	0	0
1595	75	198	195	3	522
2954	40	413	457	5	565
16	0	0	1	0	0
1506	4	113	108	5	19
1711	16	646	1067	55	67
712	27	119	189	10	100
17376	200	1682	898	128	1751
438	11	145	188	0	106
25593	61	553	992	21	141
3741	137	939	1234	31	153
115	0	20	14	1	14
3942	37	1531	1441	8	547
3739	14	139	8	0	664
432	0	70	69	0	0
60	7	8	7	1	9
188	0	11	23	0	0
3990	149	502	350	35	959
364	2	88	3	0	11
963	0	100	135	0	33
849	12	360	639	0	88
3374	117	459	369	14	591
200	0	37	27	0	0
861	1	71	61	2	13
1340	0	128	46	1	0
1369	32	53	34	2	334	
704	0	114	31	0	8
579	36	255	259	30	60
20239	0	1352	1254	2	4355
25845	79	1687	2520	19	5328
1406	21	533	1058	5	98
2880	168	376	231	7	638
2058	12	925	865	5	310
657	33	122	121	12	241
9992	128	1253	1334	23	1855
12146	327	1349	1190	38	2426
1616	0	288	630	0	55
7526	0	370	765	2	159
861	11	178	97	1	53
5031	0	1228	1352	57	1866
649	75	212	333	9	82
78	0	16	3	0	0
1101	27	96	183	1	130
393	0	68	9	0	0
83	0	6	0	0	0
4498	79	1268	1190	71	625
293	2	77	57	0	2
183	0	2	1	0	0
2863	0	1394	4231	0	0
5315	0	739	846	110	382
146	0	24	1	0	0
3145	68	359	424	0	309
14224	159	2304	2899	21	1976
757	23	116	119	5	20
316	0	23	0	0	0
906	2	157	81	0	95
7436	116	1094	778	37	924
595	0	77	127	1	0
16278	97	4882	7019	0	2559
132	0	29	15	0	0
143	1	51	52	11	0
28	1	2	1	0	0
2840	363	659	946	27	575
3586	172	541	645	2	421
350	3	44	79	0	32
10754	38	453	193	0	2080
112	0	26	26	0	0
77	0	15	6	0	0
236	6	37	38	10	14
183	0	65	14	0	0
1112	60	270	440	3	370
1218	0	303	233	0	137
5351	50	963	1370	50	145
3629	62	130	44	7	1609
4	0	1	0	0	0
185	0	3	3	0	0
26027	260	1987	1920	1	13733	
9436	182	2388	1846	200	1943
407	0	65	50	0	26
3425	20	473	690	0	244
88	0	4	2	0	0
2044	52	240	114	14	449
1555	0	43	1	1	0
2248	32	203	276	21	427
20	0	0	0	0	0
1284	1	152	128	0	10
2698	64	204	389	2	1351
742	7	41	19	4	37
4286	1	764	2438	1	4
1012	19	334	831	0	126
435	5	34	13	0	55
983	64	288	450	13	124
698	10	38	60	1	131
29	4	3	4	0	4
326	7	65	200	0	2
141	0	7	0	0	0
2334	0	995	878	0	474
700	17	262	234	8	97
327	0	66	0	0	0
258	3	40	65	0	0
515	25	81	75	3	64
37	2	11	6	0	1
1144	124	127	84	4	396
3149	0	1680	1908	32	627
311	41	36	31	2	19		
936	8	192	397	2	4
1400	113	332	654	12	306
13464	598	5964	10913	142	3026
1016	1	115	80	21	0
8625	20	1233	1629	15	303
1370	75	552	717	37	178
1112	40	80	48	7	66
2301	40	96	35	1	1519	
108	0	20	14	0	0
509	6	53	74	0	14
5770	163	1127	1363	1	1145
9918	30	806	623	1	1562
2733	33	156	98	1	423
851	0	137	33	0	0
816	39	125	82	6	112
1255	93	136	215	1	1080
3145	0	1164	1961	0	109
8133	87	779	729	0	1993
10496	101	1526	1572	30	1321
465	20	62	82	0	11
142	2	28	11	0	2
8254	168	1418	1319	68	1978
180	7	36	61	1	12
230	1	31	23	0	1
94	0	13	2	0	0
2443	43	359	702	1	643
305	0	112	224	0	0
47720	371	6267	4074	152	13998
38	0	4	7	0	0
2511	49	131	37	3	889
226	8	37	45	0	18
3934	0	1656	1073	0	2250
12519	53	398	188	2	4413
22722	925	5450	2516	76	9948
864	0	122	0	0	0
5372	203	2749	2915	65	1607
2052	7	50	9	0	355
5379	104	245	151	1	2648
305	11	61	65	9	8
1146	112	411	620	6	389		
808	76	64	58	9	140
3051	156	329	169	17	2148
356	81	58	76	9	114
8126	228	5236	5120	250	1189
432	0	4	0	0	0
6471	357	1130	1666	1	2692
3217	55	3002	3411	178	400
1858	69	217	256	1	149
10049	54	500	839	13	2058
849	1	165	126	0	2
1424	4	102	67	4	174
94	0	16	0	0	0
34	0	4	8	0	0
934	81	148	31	10	333
23724	45	79	75	15	139
43	0	2	0	0	0
85	0	5	0	0	0
368	2	95	16	0	1
848	7	29	41	0	43
308	0	70	58	0	0
1049	5	168	413	2	6
8	0	0	0	0	0
1689	36	531	636	0	38		
416	3	45	45	0	1
1807	4	240	131	1	216
5703	108	872	567	43	1899
189	14	31	55	2	10
263	0	45	56	0	0
761	0	134	103	2	60
849	20	67	59	0	54
10932	111	4247	7405	10	2376
6112	188	1385	1360	53	764
966	33	95	191	2	242
394	33	56	28	0	77
3937	162	488	678	27	506
974	179	230	171	4	303
840	0	61	106	0	0
2599	0	759	708	4	105
1522	14	205	412	1	508
36	0	7	1	0	0
1880	39	165	49	0	252
19643	466	5395	4384	122	8347
1379	20	96	62	1	424
9467	529	4197	3160	24	2884
739	12	71	52	1	213
1065	19	35	35	1	66
40422	111	10433	11421	65	7896
5237	83	987	778	18	1582
1429	0	211	205	0	96
5288	68	1328	698	101	1648	
3715	49	321	376	22	612
17294	53	307	169	4	2908
2726	238	954	909	32	906
9394	195	2116	1687	11	2257
992	0	69	48	0	326
1001	4	203	310	0	16
1688	25	167	223	3	112
1556	265	410	387	0	1538
4796	13	1608	2355	2	77
666	55	221	221	5	126		
6550	82	528	271	9	383
72	4	6	7	0	7
256	0	55	33	0	0
6599	85	345	52	8	2889
295	0	87	33	1	0
868	16	203	254	2	11		
2307	211	333	222	1	1820
35	2	9	9	0	0
12708	214	1030	989	72	1021
9650	186	5797	4684	364	1670
863	20	146	146	10	20
128	5	17	3	0	6
589	0	96	71	0	11
103	39	23	16	1	52
11076	49	624	443	14	2586
10798	281	999	1504	17	1465
463	15	74	60	6	37
231	2	12	11	0	5
473	0	52	57	1	19
11254	271	4582	5475	202	4698
11949	55	7005	9126	26	1940
79	4	6	2	0	16
823	3	33	9	0	78
1586	2	67	8	1	244
1138	74	133	91	4	385
1858	13	510	515	6	82
70	0	4	1	0	0
9197	6	88	70	0	717
1869	51	244	389	5	367
3973	218	542	502	1	686
1373	106	166	70	0	275
71	0	5	5	0	0
958	11	88	79	0	27
132	39	11	8	35	13
3027	106	615	1076	34	64
204	9	64	56	16	8
2821	78	1048	903	25	418
552	29	69	80	3	73
1218	23	39	14	6	555
14324	34	1314	1297	18	2940
274	16	15	13	0	14
9497	86	1131	260	22	4793
518	0	64	99	0	0
21	0	1	0	0	0
1288	0	192	439	9	0
2677	0	5037	5745	22	276
441	60	193	249	22	36
11280	893	5785	3547	110	5878
1508	2	126	91	2	328
2118	26	1062	1851	2	89
1498	29	68	100	5	132
3042	152	799	646	92	634
899	0	277	528	0	149
4025	1	638	837	43	452
484	67	170	180	15	95
8415	170	3043	7606	33	432
1046	1	239	391	3	20
2237	9	205	285	1	286
1129	10	63	59	6	97
3588	126	1577	1662	229	285
1477	2	414	614	22	34
81	0	6	7	0	0
1497	35	365	469	28	92
6012	79	1475	1078	1	1724
156	0	12	3	0	0
1028	61	102	176	2	64
20663	193	2858	2624	46	5355
1277	97	275	250	21	318
473	15	51	49	0	32
109	0	18	0	0	0
30543	351	6105	4937	147	7165
2340	34	566	722	32	526
155	4	19	12	0	1
133	5	11	3	0	14
5599	59	198	55	0	3275
214	6	30	4	0	2
122	0	27	0	0	0
46	0	6	2	0	0
49602	1062	5468	4198	53	26757
879	3	123	130	1	46
197	0	29	1	0	0
2881	20	393	285	0	1023
906	26	214	108	0	110
692	7	91	134	0	81
366	2	33	55	1	8
562	8	47	32	0	58
280	11	52	63	0	23
18	0	0	0	0	0
3172	3	753	1842	4	10
184	0	6	1	0	0
778	130	683	855	37	339
3834	3	769	874	7	51
47	0	6	0	0	0
87	16	20	19	0	35
25	0	3	5	0	0
2208	58	891	909	72	452
172	1	18	2	0	0
7525	184	1258	1730	22	3021
4202	45	994	765	24	262
666	0	172	10	1	0
1686	0	106	159	0	0
97	7	18	1	2	5
6490	31	285	313	2	1491
753	0	77	10	0	0
728	1	139	149	0	2
6621	325	1530	1080	35	3434
1459	44	307	276	10	130
1313	19	142	136	0	86
9271	277	1701	316	2	11324
177	1	44	78	0	2
10679	57	2079	3186	30	1557
8299	8	120	157	1	202
3932	136	2174	2590	67	701
6767	39	414	86	4	3528
447	10	12	4	0	143
416	46	14	9	1	145	
