Page Visits	Submissions	Comments Received	Comments Given	Journals	Favs
5125	68	499	202	22	122
4641	66	2057	4126	0	963
76902	107	2094	739	2	59326
35079	133	5849	6256	0	6071
148580	486	5639	5481	16	42438
20712	831	4636	3789	166	5262
179298	116	3833	1853	37	30317
9564	611	3514	1823	9	2008
198	4	12	2	0	3
1651	76	44	8	2	55
1330	1	102	241	1	3
10057	393	4025	4913	240	959
1846	100	976	1339	28	752
6834	76	2559	3416	2	1316
29828	113	1144	784	69	1748
25269	40	3884	4043	168	2560
6705	248	2594	2401	0	889
224692	414	22907	43625	10	95499
482	22	66	42	22	29
95	23	15	9	2	3
13989	63	2418	2060	40	2431
846	58	134	203	5	330
5385	19	949	1082	6	288
31217	150	6595	9042	89	3929
160181	470	9515	1802	150	104020
32130	220	7437	9757	63	10959
820	89	244	322	12	178
8166	228	1252	1108	123	1519
69811	156	6338	5357	116	19315
13518	26	2602	2469	120	489
1126	1	532	566	0	6
6603	36	124	57	0	1394
10777	48	577	656	3	1608
16324	233	2391	2842	89	2273		
33433	1	1173	635	1	110
17496	138	1597	1956	237	9259
16135	421	9587	6012	152	4242
8664	293	5236	7559	280	1139
562	0	188	214	1	0
1187	0	178	186	0	0
12638	175	3074	5913	17	377
248283	573	11467	9689	145	65338
19493	442	4623	4812	131	9047
4622	108	816	693	83	1854
3062	5	507	77	0	17
2031	12	622	1344	7	8
9135	51	760	679	15	1610
637290	998	26029	13213	169	234706
654	5	71	30	0	3
51539	138	15773	44668	19	4796
1637	22	278	321	40	47
133118	297	8596	3088	27	24098
9529	137	2122	1423	105	6554
606	6	87	110	4	31
2629	45	872	1185	48	48
28360	337	2115	1153	120	12545
4235	5	77	32	0	381
260808	934	34899	8670	633	277784
817	66	185	21	0	182
114821	261	10891	8536	47	49536
122328	1203	60293	61130	531	30768
4034	79	1065	1566	5	293
14026	249	796	552	74	3102
6529	58	1198	906	7	309
42057	289	10381	10051	27	11456	
7236	35	1286	71	74	461
190490	855	20718	11361	3	84332
282	2	39	38	1	6
729	9	179	191	1	63
6049	67	534	765	0	406
443796	643	22931	10898	223	167288
286163	1108	62966	22273	80	290744
820	40	78	68	0	336
429	0	75	25	0	2
29887	305	2162	720	52	8613
317	7	42	47	0	13
391	21	48	72	1	21
6349	82	1653	2410	16	1051
908	74	307	351	21	132
1472	99	187	123	4	147
381	73	46	35	0	176
6771	74	985	1085	59	527
12661	64	618	533	1	3867
1590	1	329	267	0	4
67484	227	7790	8963	60	23038
6241	32	686	471	0	276
4179	13	2362	5030	98	89
6177	73	759	1214	3	840
1204	6	86	64	1	53
97	16	57	56	0	20
36902	363	3394	3479	127	9760
4982	10	1035	1506	0	178
205	11	62	85	5	4
308	0	26	0	0	0
2320	9	464	488	11	10
14994	132	1349	1493	2	3412
14397	45	4961	8354	78	448
16985	111	5978	8152	1	1962
20658	515	3569	5388	1	3427
48318	501	5337	5429	55	13298
15461	474	2194	2167	36	6224
11641	414	1852	1260	56	1604
7150	246	2889	4330	131	933
101583	1236	15534	6117	243	44180
12492	945	2455	1536	10	10060
1167	9	381	238	4	30
1642	137	237	357	5	271
473	17	301	468	8	49
46787	402	3933	3365	159	23325
13348	0	1325	1615	0	5038
7153	186	2216	3315	13	998
6336	0	1664	4816	25	112
62220	113	3636	3237	62	7381
446	15	26	33	2	12
1951	62	985	2328	122	69
5269	19	1692	659	42	106
16006	604	3778	4188	11	3650
1736	106	325	266	25	178
3596	308	2694	1977	97	811
6921	163	592	617	9	3917
405	25	108	120	1	59
6086	89	437	700	8	2132
2910	111	580	286	0	1078
2665	28	398	340	17	175
43739	76	3006	899	141	6507
68	0	11	13	1	0
2381	0	282	478	3	0
712	44	173	265	41	23
16470	564	6586	14782	22	3372
63506	451	4365	4243	73	30477
254595	546	22534	4190	189	298769
17597	119	4797	6177	216	2777
64359	140	4826	5184	4	15160
4036	21	467	482	10	461
1008	0	178	137	0	0
4867	18	537	1041	11	88
3973	59	737	846	9	135
6834	10	1560	1340	5	95
5537	124	2673	3597	224	352
56390	341	4660	4919	64	19994
207	30	177	313	18	10
26289	0	2465	2055	1	7133
8124	230	2440	4141	27	1547
565	0	154	34	0	0
218100	656	37651	28187	141	127627
2326	143	692	352	0	87
12296	213	2037	3410	66	1486
4005	3	1261	1694	0	615
20266	102	3883	6411	137	2762
6859	80	1465	847	34	880
4847	30	1033	585	28	58
3813	110	533	339	15	139
577	21	60	50	1	59
6666	41	230	227	1	1132
4019	16	10161	11854	38	77
1343	27	327	317	32	58
867	19	91	144	2	49
114	0	15	0	0	0
1363	16	208	384	0	74
95423	2411	31885	25083	178	72567
19551	56	1928	7969	3	1663
4331	107	665	465	2	942
1072	47	471	623	11	191
2043	172	437	399	5	1041
292	18	37	39	2	35
3261	126	1036	1509	7	391
1056	0	277	437	1	0
2942	78	249	530	28	1016
241	18	121	183	2	36
815	17	327	246	8	37
102854	1100	18225	20847	402	99285
43183	193	11970	8409	31	18309
3673	69	1439	1348	4	207
155984	622	14243	17002	94	131696
26153	214	2453	2264	13	6243
1466	0	278	0	0	0
4454	11	300	305	16	39
3568	105	925	832	43	240
577	7	69	98	0	59
2062	63	288	307	0	236
9005	261	3117	4338	144	902
44	0	0	2	3	2
104	4	4	3	0	10
5129	62	262	262	15	1191
8250	0	1349	1587	0	776
118	5	11	6	1	3
2288	57	665	319	1	61
4142	27	195	164	2	235
294101	235	8774	2561	61	176080
586	0	157	6	0	0
83	0	18	3	1	0
9317	149	2854	4559	1	3662
571	0	108	16	0	0
51028	1207	24036	19728	30	11647		
5863	59	1508	992	9	190
4881	76	379	475	4	550
131146	380	19379	42026	111	31210
8362	19	2128	4101	1	386
16238	3	5338	6740	4	1045
13249	138	704	540	12	3522
8231	0	7832	9677	1	1219
3353	10	633	963	39	48
1935	17	104	80	4	254
903	46	226	406	40	29
7172	3	2952	3646	54	23
10122	23	2776	2572	12	190
3689	37	1267	2107	1	166
29647	198	1010	793	11	10716
23705	32	26777	45346	98	338
12244	181	1939	2101	96	1555
7462	7	1672	862	0	50
1688	0	250	122	0	17
1063	17	452	742	2	54
5542	0	1341	1725	2	1
897	27	128	227	1	27
2226	42	381	273	75	73
534	5	86	13	0	12
8604	17	2850	3924	23	487
1622	3	310	211	16	3
837	10	168	180	7	13
6187	1	1213	583	30	50
151532	79	8613	2303	169	117991
13961	77	5674	5711	141	4122
25467	155	2450	2629	0	5168
168679	6	9536	1618	21	54589
1955	9	319	864	8	6
5114	723	6317	6054	294	1092
4070	0	417	478	8	0
290	0	61	0	0	0
7270	19	186	233	4	1477
13723	1	1843	1120	3	4257
1043	20	241	379	35	30
22496	773	3512	3446	121	9364		
3265	34	577	979	2	838
151939	0	20966	15649	0	51771
459	65	50	25	2	158
3607	70	504	274	15	1365
55634	382	7754	10274	62	19667
1366	15	281	218	0	29
127612	154	6117	4310	53	46625
7437	61	350	88	1	1340
9064	349	1489	906	87	3714
36895	63	7864	5871	18	9749
7311	104	3484	5237	231	374
2423	9	257	536	8	117
11026	76	1889	1625	57	1964
3123	283	1344	1012	1	942
4856	50	639	873	64	759
4365	75	2111	2549	124	299
2136	27	823	664	29	317
12291	450	3017	3260	6	6569
1024	156	330	441	12	532
9101	345	9398	12708	42	1866
183	11	31	22	0	14
147	18	18	29	1	17
749	2	191	139	5	64
3880	47	1165	1625	37	169
734	84	49	28	0	347
124323	233	21624	42538	48	14742
14141	726	5628	1403	70	19665
14449	430	4491	4473	65	5951
2979	0	677	552	0	28
41991	186	4969	6297	70	13896
19205	158	1990	1024	44	15095
4547	260	1295	1231	143	676
113082	480	4367	2321	74	23614
89332	1027	12229	6805	2	51087
2770	0	388	83	0	0
22023	149	9700	7741	4	5178
4645	100	1006	1510	0	414
9101	97	901	1128	7	2339
9298	63	2094	2325	62	1197
991	0	81	0	0	0
11925	105	1794	2301	12	3860
7870	3	1724	751	0	30
531	97	158	234	4	238
126113	85	10809	6779	47	40467
18338	0	2207	1888	25	5322
26	0	0	0	0	0
4574	12	214	8	0	2201
32226	597	7245	8360	72	19563
8114	159	394	65	0	3159
1500	1	313	0	1	1
9190	133	682	295	12	3197
89874	221	4725	1255	10	29426
3284	29	697	872	3	627
5941	208	2066	1762	4	1014
2397	4	799	648	10	100
7368	70	3110	5561	110	738
1696	20	84	31	0	442
938	2	160	71	0	502
88	1	15	3	0	0
13497	160	1349	1776	95	912
11896	414	1906	1031	30	10646
61982	3	6540	7505	5	19210
13877	410	7448	9084	36	4346
13909	27	1187	2126	27	1189
32684	263	2171	2582	96	7623
1362	0	333	328	0	0
2426	58	245	208	5	1101
25769	850	7506	3852	251	6038
2693	85	1265	3447	39	254
3102	16	573	395	14	29
1375	0	366	469	0	166
3835	24	371	436	0	177
5999	36	170	273	16	222
687	119	115	56	0	271
1542	0	278	188	1	21
6944	89	899	1207	45	435
876	3	89	75	6	2
59014	74	16584	17788	50	30562
37014	190	21052	58487	69	4254
28682	870	53032	65394	406	13818
361	0	84	184	3	16
6394	81	361	282	1	408
17828	161	3879	5061	131	1362
1763	82	860	1570	35	199
14476	78	1389	638	8	5660
201202	208	6354	1864	33	46232
23652	570	5752	7888	4	7292		
6946	1	2382	3046	33	122
3437	42	1075	401	2	277
6549	136	2078	2669	60	1492
27657	95	1842	396	17	5751
8222	99	283	62	1	2654
27731	580	5792	5343	28	7028
20035	633	2537	1284	3	22158	
20368	462	5327	6989	89	16180
405328	112	21750	8807	0	172134
13934	252	4164	6687	212	4300
17593	349	3938	1310	220	5022
56510	348	14915	7902	381	25715
150	0	18	0	0	0
49792	221	7044	7844	54	5212	
3215	116	2774	5214	85	317
851	0	91	89	1	20
2409	144	778	1016	27	371
498	0	122	174	4	1
13476	45	3437	3334	10	1081
4725	0	935	948	38	578
22321	168	3739	2498	10	10268
22966	114	1163	464	33	22163
4625	3	1118	788	0	761
62909	80	4659	2074	26	13658
2998	168	1615	2399	101	471
585	15	191	216	2	24
11443	246	3375	5154	235	1661
11705	1033	14334	11374	0	11179
12008	318	3203	5654	4	1750		
2021	144	890	791	80	402
2671	0	922	898	2	295
1308	21	714	791	1	46
3972	16	290	356	4	71
59616	922	13984	6227	595	50484
3238	29	115	19	7	357
34067	79	2516	946	11	16631
14713	97	4635	2333	98	6873
5896	112	1028	632	78	619
53989	692	10951	9976	805	16973
12502	180	1199	647	9	4538
403	242	68	64	10	55
32844	22	3631	503	1	4787
4172	43	890	893	2	296
4162	0	284	443	0	6
29748	29	2316	2603	106	710
18226	37	5778	10936	74	576
7638	0	2459	3744	0	0
204	1	31	74	0	2
2329	0	1003	2047	0	11
54321	4718	23654	9884	175	127676
186744	1168	14091	6202	769	108212
8928	36	3089	3768	73	561
1239	121	284	236	2	240
3805	47	1775	3461	186	145
44077	326	3084	2512	108	15416
4378	0	918	302	0	0
3496	209	1929	2144	160	154
6244	149	1089	1211	120	432
3005	107	1214	1381	6	1029
1238	6	175	45	1	0
16225	215	509	285	5	6536	
2358	12	470	108	29	15
3150	10	593	737	14	57
38101	379	14741	22719	251	14035
1058	49	256	230	1	151
2579	4	75	62	9	17
